Tarih,Fiyat,Islem,Miktar,Kar_Zarar_Yuzde
2026-01-04 10:00:00,99.0,IZLEME,0.0,0.0
2026-01-04 10:01:00,100.0,IZLEME,0.0,0.0
2026-01-04 11:53:35,100.39,IZLEME,0.0,0.0
2026-01-04 11:53:35,100.39,ALIS,100.0,0.0
2026-01-04 11:55:50,100.39,IZLEME,0.0,0.0
2026-01-04 12:06:01,100.39,IZLEME,0.0,0.0
2026-01-04 12:06:10,100.39,ALIS,100.0,0.0
2026-01-04 12:06:11,100.39,IZLEME,0.0,0.0
2026-01-04 12:07:11,100.39,IZLEME,0.0,0.0
2026-01-04 12:08:11,100.39,IZLEME,0.0,0.0
2026-01-04 12:09:11,100.39,IZLEME,0.0,0.0
2026-01-04 12:10:11,100.39,IZLEME,0.0,0.0
2026-01-04 12:11:11,100.39,IZLEME,0.0,0.0
2026-01-04 12:12:12,100.39,IZLEME,0.0,0.0
2026-01-04 12:13:12,100.39,IZLEME,0.0,0.0
2026-01-04 12:14:12,100.39,IZLEME,0.0,0.0
2026-01-04 12:15:12,100.39,IZLEME,0.0,0.0
2026-01-04 12:16:12,100.39,IZLEME,0.0,0.0
2026-01-04 12:17:12,100.39,IZLEME,0.0,0.0
2026-01-04 12:18:13,100.39,IZLEME,0.0,0.0
2026-01-04 12:19:13,100.39,IZLEME,0.0,0.0
2026-01-04 12:20:13,100.39,IZLEME,0.0,0.0
2026-01-04 12:21:13,100.39,IZLEME,0.0,0.0
2026-01-04 12:22:13,100.39,IZLEME,0.0,0.0
2026-01-04 12:23:14,100.39,IZLEME,0.0,0.0
2026-01-04 13:32:47,100.39,IZLEME,0.0,0.0
2026-01-04 13:33:47,100.39,IZLEME,0.0,0.0
2026-01-04 13:34:47,100.39,IZLEME,0.0,0.0
2026-01-04 13:35:47,100.39,IZLEME,0.0,0.0
2026-01-04 13:36:48,100.39,IZLEME,0.0,0.0
2026-01-04 13:37:48,100.39,IZLEME,0.0,0.0
2026-01-04 13:38:48,100.39,IZLEME,0.0,0.0
2026-01-04 13:39:48,100.39,IZLEME,0.0,0.0
2026-01-04 13:40:54,100.39,IZLEME,0.0,0.0
2026-01-04 13:42:01,100.39,IZLEME,0.0,0.0
2026-01-04 13:43:07,100.39,IZLEME,0.0,0.0
